"","ID","Month","Month.Clutch","Laid","Hatched","Reef","Treatment","expt.x","FSL.1","FSL.2","FSL","MSL.1","MSL.2","MSL","MDSL","FDSL","Prophatch","Anemone.ID","Clutch.Age","M.tend","Age","expt.y","OLRE"
"17",355,"2",1,246,172,"Hanging 1","C","Y",55.3,54.4,54.85,43.5,44.2,43.85,"0.7",-0.9,0.699186991869919,355,7,10.79926667,"Late","Y",17
"18",355,"2",2,296,206,"Hanging 1","C","Y",55.3,54.4,54.85,43.5,44.2,43.85,"0.7",-0.9,0.695945945945946,355,7,14.62906667,"Late","Y",18
"19",356,"1",1,147,21,"Hanging 1","M","Y",52.1,51.7,51.9,37.7,36.6,37.15,"-1.1",-0.4,0.142857142857143,356,7,7.64085,"Late","Y",19
"20",356,"1",2,227,64,"Hanging 1","M","Y",52.1,51.7,51.9,37.7,36.6,37.15,"-1.1",-0.4,0.281938325991189,356,7,10.5726,"Late","Y",20
"21",356,"2",1,121,53,"Hanging 1","M","Y",52.1,51.7,51.9,37.7,36.6,37.15,"-1.1",-0.4,0.43801652892562,356,7,7.861566667,"Late","Y",21
"22",356,"2",2,281,264,"Hanging 1","M","Y",52.1,51.7,51.9,37.7,36.6,37.15,"-1.1",-0.4,0.939501779359431,356,6,14.4549,"Late","Y",22
"23",356,"2",3,264,160,"Hanging 1","M","Y",52.1,51.7,51.9,37.7,36.6,37.15,"-1.1",-0.4,0.606060606060606,356,7,10.90391667,"Late","Y",23
"24",358,"1",1,234,180,"Hanging 2","C","Y",55.5,56.1,55.8,42.7,44,43.35,"1.3",0.6,0.769230769230769,358,7,13.4554,"Late","Y",24
"25",358,"1",2,271,231,"Hanging 2","C","Y",55.5,56.1,55.8,42.7,44,43.35,"1.3",0.6,0.85239852398524,358,6,14.47058333,"Late","Y",25
"26",358,"2",1,430,368,"Hanging 2","C","Y",55.5,56.1,55.8,42.7,44,43.35,"1.3",0.6,0.855813953488372,358,6,14.76513333,"Late","Y",26
"27",358,"2",2,408,350,"Hanging 2","C","Y",55.5,56.1,55.8,42.7,44,43.35,"1.3",0.6,0.857843137254902,358,6,13.51533333,"Late","Y",27
"28",362,"1",1,436,332,"Marks","M","Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3,0.761467889908257,362,7,13.53353333,"Late","Y",28
"29",362,"1",2,490,361,"Marks","M","Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3,0.736734693877551,362,7,14.42296667,"Late","Y",29
"30",362,"1",3,393,322,"Marks","M","Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3,0.819338422391858,362,6,9.52075,"Late","Y",30
"31",362,"2",1,662,568,"Marks","M","Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3,0.858006042296072,362,7,14.6089,"Late","Y",31
"32",362,"2",2,608,565,"Marks","M","Y",52.7,53,52.85,42,42.8,42.4,"0.8",0.3,0.929276315789474,362,7,14.7475,"Late","Y",32
"33",380,"2",1,160,50,"First","F","Y",49,51,50,38.4,38,38.2,"-0.4",2,0.3125,380,7,12.89858333,"Late","Y",33
"34",381,"1",1,271,187,"Luba","F","Y",53.8,53.1,53.45,38.2,37.4,37.8,"-0.8",-0.7,0.690036900369004,381,7,12.30193333,"Late","Y",34
"35",381,"1",2,302,199,"Luba","F","Y",53.8,53.1,53.45,38.2,37.4,37.8,"-0.8",-0.7,0.658940397350993,381,7,13.87163333,"Late","Y",35
