"","Anemone.ID","Month","Month.Clutch","Treatment","Reef.ID","Date","Time","Clutch.Age","M.tend","F.tend","Conflict.M","Conflict.F","Actual.Observer","Manipulation","Age","Laid","ID","expt","FSL.1","FSL.2","FSL","MSL.1","MSL.2","MSL","MDSL","FDSL"
"97",393,"2",2,"M","Luba","7/30/2018",15,6,10.55326667,1.854866667,0,0,"M","7/15/2018","Late",269,393,"Y",46.5,47.9,47.2,37,38.5,37.75,"1.5",1.4
"98",393,"2",2,"M","Luba","7/28/2018",13,4,9.121533333,2.3633,0,0,"M","7/15/2018","Early",269,393,"Y",46.5,47.9,47.2,37,38.5,37.75,"1.5",1.4
"99",393,"1",1,"M","Luba","6/27/2018",14,6,7.357716667,2.25625,0,0,"M","6/13/2018","Late",186,393,"Y",46.5,47.9,47.2,37,38.5,37.75,"1.5",1.4
"100",393,"2",1,"M","Luba","7/19/2018",4,7,12.84086667,2.5141,0,0,"M","7/15/2018","Late",230,393,"Y",46.5,47.9,47.2,37,38.5,37.75,"1.5",1.4
"101",393,"2",3,"M","Luba ","8/9/2018",25,4,9.774616667,2.7277,0,0,"M","7/15/2018","Early",254,393,"Y",46.5,47.9,47.2,37,38.5,37.75,"1.5",1.4
"102",394,"1",2,"M","Hanging","7/6/2018",23,3,7.531683333,1.966133333,0,0,"T","6/13/2018","Early",426,394,"Y",55.4,56.6,56,42,42,42,"0",1.2
"103",394,"1",2,"M","Hanging","7/10/2018",27,7,14.09953333,1.084416667,0,0,"T","6/13/2018","Late",426,394,"Y",55.4,56.6,56,42,42,42,"0",1.2
"104",394,"2",2,"M","Hanging","8/6/2018",23,6,12.38333333,1.276783333,0,0,"T","7/14/2018","Late",503,394,"Y",55.4,56.6,56,42,42,42,"0",1.2
"105",394,"1",1,"M","Hanging","6/30/2018",17,6,10.4492,0.991366667,0,0,"T","6/13/2018","Late",358,394,"Y",55.4,56.6,56,42,42,42,"0",1.2
"106",394,"2",2,"M","Hanging","8/3/2018",20,3,5.609666667,0.360983333,0,0,"T","7/14/2018","Early",503,394,"Y",55.4,56.6,56,42,42,42,"0",1.2
"107",394,"1",1,"M","Hanging","6/28/2018",15,4,9.339766667,2.021683333,0,0,"T","6/13/2018","Early",358,394,"Y",55.4,56.6,56,42,42,42,"0",1.2
"108",396,"1",1,"F","Crater","7/2/2018",19,3,12.31743333,2.599516667,0,0,"M","6/13/2018","Early",117,396,"Y",56.5,57.3,56.9,39.5,39.7,39.6,"0.2",0.8
"109",396,"1",1,"F","Crater","7/6/2018",23,7,13.27965,1.1271,0,0,"M","6/13/2018","Late",117,396,"Y",56.5,57.3,56.9,39.5,39.7,39.6,"0.2",0.8
"110",396,"2",1,"F","Crater ","8/3/2018",20,7,14.28405,2.29795,0,0,"M","7/14/2018","Late",188,396,"Y",56.5,57.3,56.9,39.5,39.7,39.6,"0.2",0.8
"111",396,"2",1,"F","Crater","7/30/2018",16,3,14.71536667,1.652516667,0,0,"M","7/14/2018","Early",188,396,"Y",56.5,57.3,56.9,39.5,39.7,39.6,"0.2",0.8
"112",399,"1",1,"C","Hanging","6/24/2018",11,3,12.01798333,0.604533333,0,0,"T","6/13/2018","Early",488,399,"Y",59.8,60,59.9,45.7,44.9,45.3,"-0.8",0.2
"113",399,"1",2,"C","Hanging","7/8/2018",25,6,13.81101667,4.608766667,0,0,"T","6/13/2018","Late",408,399,"Y",59.8,60,59.9,45.7,44.9,45.3,"-0.8",0.2
